"name","github_url","run_date","modified","validated_metadata","validated_data","published","ok_on_datahub","validated_metadata_message","validated_data_message","auto_publish"
"airport-codes","https://github.com/datasets/airport-codes","2017-09-29T08:00:01.586Z","D","true","true","https://datahub.io/core/airport-codes","ok","valid","valid","true"
"bond-yields-uk-10y","https://github.com/datasets/bond-yields-uk-10y","2017-09-29T08:00:01.586Z","Q","true","true","https://datahub.io/core/bond-yields-uk-10y","ok","valid","valid","true"
"bond-yields-us-10y","https://github.com/datasets/bond-yields-us-10y","2017-09-29T08:00:01.586Z","M","true","true","https:/datahub.io/core/bond-yields-us-10y","ok","valid","valid","true"
"cash-surplus-deficit","https://github.com/datasets/cash-surplus-deficit","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/cash-surplus-deficit","ok","valid","valid","false"
"co2-fossil-global","https://github.com/datasets/co2-fossil-global","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/co2-fossil-global","ok","valid","valid","false"
"co2-ppm","https://github.com/datasets/co2-ppm","2017-09-29T08:00:01.586Z","M","true","true","https://datahub.io/core/co2-ppm","ok","valid","valid","false"
"cofog","https://github.com/datasets/cofog","2017-09-29T08:00:01.586Z","N","true","true","https://datahub.io/core/cofog","ok","valid","valid","false"
"continent-codes","https://github.com/datasets/continent-codes","2017-09-29T08:00:01.586Z","N","true","true","https://datahub.io/core/continent-codes","ok","valid","valid","false"
"corruption-perceptions-index","https://github.com/datasets/corruption-perceptions-index","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/corruption-perceptions-index","ok","valid","valid","false"
"country-codes","https://github.com/datasets/country-codes","2017-09-29T08:00:01.586Z","N","true","true","https://datahub.io/core/country-codes","ok","valid","valid","false"
"country-list","https://github.com/datasets/country-list","2017-09-29T08:00:01.586Z","N","true","true","https://datahub.io/core/country-list","ok","valid","valid","false"
"cpi","https://github.com/datasets/cpi","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/cpi","ok","valid","valid","false"
"cpi-us","https://github.com/datasets/cpi-us","2017-09-29T08:00:01.586Z","M","true","true","https://datahub.io/core/cpi-us","ok","valid","valid","false"
"currency-codes","https://github.com/datasets/currency-codes","2017-09-29T08:00:01.586Z","N","true","true","https://datahub.io/core/currency-codes","ok","valid","valid","false"
"dac-crs-codes","https://github.com/datasets/dac-crs-codes","2017-09-29T08:00:01.586Z","M","true","true","https://datahub.io/core/dac-and-crs-code-lists","ok","valid","valid","false"
"eu-emissions-trading-system","https://github.com/datasets/eu-emissions-trading-system","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/eu-emissions-trading-system","ok","valid","valid","false"
"euribor","https://github.com/datasets/euribor","2017-09-29T08:00:01.586Z","M","true","true","https://datahub.io/core/euribor","ok","valid","valid","false"
"employment-us","https://github.com/datasets/employment-us","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/us-employment-bls","ok","valid","valid","false"
"exchange-rates","https://github.com/datasets/exchange-rates","2018-01-19T08:00:01.586Z","D","true","true","https://datahub.io/core/exchange-rates","ok","valid","valid","false"
"expenditure-on-research-and-development","https://github.com/datasets/expenditure-on-research-and-development","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/expenditure-on-research-and-development","ok","valid","valid","false"
"finance-vix","https://github.com/datasets/finance-vix","2017-09-29T08:00:01.586Z","D","true","true","https://datahub.io/core/finance-vix","ok","valid","valid","true"
"fips-10-4","https://github.com/datasets/fips-10-4","2018-01-19T08:00:01.586Z","N","true","true","https://datahub.io/core/fips-10-4","ok","valid","valid","false"
"gdp","https://github.com/datasets/gdp","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/gdp","ok","valid","valid","false"
"gdp-uk","https://github.com/datasets/gdp-uk","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/gdp-uk","ok","valid","valid","false"
"gdp-us","https://github.com/datasets/gdp-us","2017-09-29T08:00:01.586Z","A","true","true","https://datahub.io/core/gdp-us","ok","valid","valid","false"
